total_act,val_loss,step,val_f1,epoch,total_macs,est_act,val_classifier_loss,val_precision,val_recall,total_weights,val_error,val_accuracy,train_precision,train_f1,train_classifier_loss,train_error,lr-SGD,train_accuracy,train_loss,train_recall,test_recall,test_accuracy,test_precision,test_f1,test_classifier_loss,test_loss,test_error
515956.0,2.303867816925049,20,0.01896132528781891,0,5458368.0,36864.0,2.303867816925049,0.01047363318502903,0.10000000149011612,1014120.0,0.895263671875,0.104736328125,,,,,,,,,,,,,,,
515956.0,2.2968027591705322,41,0.04300021380186081,1,5458368.0,36864.0,2.2968027591705322,0.09778569638729095,0.1073308065533638,1014120.0,0.890380859375,0.109619140625,,,,,,,,,,,,,,,
,,49,,,,,,,,,,,,,,,0.019307277027038466,,,,,,,,,,
,,49,,2,,,,,,,,,0.142885223031044,0.114624984562397,2.2466673851013184,0.849609375,,0.150390625,2.2466673851013184,0.15479327738285065,,,,,,,
515956.0,2.1634061336517334,62,0.1446414589881897,2,5458368.0,36864.0,2.1634061336517334,0.16628405451774597,0.19252225756645203,1014120.0,0.803955078125,0.196044921875,,,,,,,,,,,,,,,
515956.0,2.126321315765381,83,0.15230631828308105,3,5458368.0,36864.0,2.126321315765381,0.21448871493339539,0.20731624960899353,1014120.0,0.79345703125,0.20654296875,,,,,,,,,,,,,,,
,,99,,,,,,,,,,,,,,,0.05136608121396863,,,,,,,,,,
,,99,,4,,,,,,,,,0.24297934770584106,0.21522757411003113,1.9966635704040527,0.75341796875,,0.24658203125,1.9966635704040527,0.24614834785461426,,,,,,,
515956.0,1.9159865379333496,104,0.21651697158813477,4,5458368.0,36864.0,1.9159865379333496,0.24274125695228577,0.26234114170074463,1014120.0,0.738037109375,0.261962890625,,,,,,,,,,,,,,,
515956.0,1.8239400386810303,125,0.27304428815841675,5,5458368.0,36864.0,1.8239400386810303,0.27026858925819397,0.29525235295295715,1014120.0,0.701904296875,0.298095703125,,,,,,,,,,,,,,,
515956.0,1.7354826927185059,146,0.3154495358467102,6,5458368.0,36864.0,1.7354826927185059,0.3215411901473999,0.3252452611923218,1014120.0,0.673095703125,0.326904296875,,,,,,,,,,,,,,,
,,149,,,,,,,,,,,,,,,0.09632430643642736,,,,,,,,,,
,,149,,7,,,,,,,,,0.3251587748527527,0.3100825548171997,1.8001281023025513,0.67333984375,,0.32666015625,1.8001281023025513,0.32496941089630127,,,,,,,
515956.0,1.668589472770691,167,0.34029799699783325,7,5458368.0,36864.0,1.668589472770691,0.34964242577552795,0.3561441898345947,1014120.0,0.6416015625,0.3583984375,,,,,,,,,,,,,,,
515956.0,1.619841456413269,188,0.366890013217926,8,5458368.0,36864.0,1.619841456413269,0.3841639459133148,0.3804347515106201,1014120.0,0.617431640625,0.382568359375,,,,,,,,,,,,,,,
,,199,,,,,,,,,,,,,,,0.1431636760862795,,,,,,,,,,
,,199,,9,,,,,,,,,0.373379647731781,0.37193042039871216,1.6623778343200684,0.615234375,,0.384765625,1.6623778343200684,0.38126087188720703,,,,,,,
515956.0,1.5462515354156494,209,0.4161720275878906,9,5458368.0,36864.0,1.5462515354156494,0.42770740389823914,0.4207545518875122,1014120.0,0.577880859375,0.422119140625,,,,,,,,,,,,,,,
515956.0,1.4681494235992432,230,0.4478910267353058,10,5458368.0,36864.0,1.4681494235992432,0.4579828977584839,0.45600518584251404,1014120.0,0.543701171875,0.456298828125,,,,,,,,,,,,,,,
,,249,,,,,,,,,,,,,,,0.18040488624529674,,,,,,,,,,
,,249,,11,,,,,,,,,0.44394010305404663,0.4396393597126007,1.5492815971374512,0.5546875,,0.4453125,1.5492815971374512,0.44595110416412354,,,,,,,
