epoch,est_act,lr-SGD,step,test_accuracy,test_classifier_loss,test_error,test_f1,test_loss,test_precision,test_recall,total_act,total_macs,total_weights,train_accuracy,train_classifier_loss,train_error,train_f1,train_loss,train_precision,train_recall,val_accuracy,val_classifier_loss,val_error,val_f1,val_loss,val_precision,val_recall
,,0.012061568941931666,49,,,,,,,,,,,,,,,,,,,,,,,,
0,,,49,,,,,,,,,,,0.390625,1.675060749053955,0.609375,0.36649298667907715,1.675060749053955,0.3703435957431793,0.37645840644836426,,,,,,,
,,0.012251272248453793,99,,,,,,,,,,,,,,,,,,,,,,,,
0,,,99,,,,,,,,,,,0.375,1.6316566467285156,0.625,0.37545502185821533,1.6316566467285156,0.3680601418018341,0.40871572494506836,,,,,,,
,,0.01256896665626045,149,,,,,,,,,,,,,,,,,,,,,,,,
0,,,149,,,,,,,,,,,0.484375,1.498793125152588,0.515625,0.47301021218299866,1.498793125152588,0.49344879388809204,0.4892614185810089,,,,,,,
,,0.013014369296363681,199,,,,,,,,,,,,,,,,,,,,,,,,
0,,,199,,,,,,,,,,,0.484375,1.2878661155700684,0.515625,0.47302573919296265,1.2878661155700684,0.47981390357017517,0.5086090564727783,,,,,,,
,,0.01358708359082289,249,,,,,,,,,,,,,,,,,,,,,,,,
0,,,249,,,,,,,,,,,0.53125,1.3155407905578613,0.46875,0.5208032131195068,1.3155407905578613,0.5450993180274963,0.5653085708618164,,,,,,,
,,0.014286599605850048,299,,,,,,,,,,,,,,,,,,,,,,,,
0,,,299,,,,,,,,,,,0.5546875,1.2921216487884521,0.4453125,0.5451919436454773,1.2921216487884521,0.5695629119873047,0.54969322681427,,,,,,,
,,0.015112294505844837,349,,,,,,,,,,,,,,,,,,,,,,,,
0,,,349,,,,,,,,,,,0.5546875,1.195059061050415,0.4453125,0.5286120772361755,1.195059061050415,0.5411295890808105,0.544996976852417,,,,,,,
0,36864.0,,350,,,,,,,,515956.0,5458368.0,1014120.0,,,,,,,,0.6113781929016113,1.0896989107131958,0.38862180709838867,0.6004761457443237,1.0896989107131958,0.6214743256568909,0.609470009803772
,,0.016063433107955882,399,,,,,,,,,,,,,,,,,,,,,,,,
1,,,399,,,,,,,,,,,0.625,0.979468584060669,0.375,0.6098241806030273,0.979468584060669,0.6317262053489685,0.6308118104934692,,,,,,,
,,0.0171391685366728,449,,,,,,,,,,,,,,,,,,,,,,,,
1,,,449,,,,,,,,,,,0.65625,0.9529221653938293,0.34375,0.6545535326004028,0.9529221653938293,0.6721467971801758,0.684411883354187,,,,,,,
,,0.01833854297786841,499,,,,,,,,,,,,,,,,,,,,,,,,
1,,,499,,,,,,,,,,,0.5859375,1.1409868001937866,0.4140625,0.5650469064712524,1.1409868001937866,0.5993431806564331,0.5794075727462769,,,,,,,
,,0.01966048853161778,549,,,,,,,,,,,,,,,,,,,,,,,,
1,,,549,,,,,,,,,,,0.6875,0.9261137247085571,0.3125,0.6668341159820557,0.9261137247085571,0.6843274235725403,0.6770005226135254,,,,,,,
,,0.021103828163035687,599,,,,,,,,,,,,,,,,,,,,,,,,
1,,,599,,,,,,,,,,,0.6640625,0.97690349817276,0.3359375,0.6582425832748413,0.97690349817276,0.673842191696167,0.663528561592102,,,,,,,
,,0.022667276750286014,649,,,,,,,,,,,,,,,,,,,,,,,,
1,,,649,,,,,,,,,,,0.6484375,0.9912104606628418,0.3515625,0.653063178062439,0.9912104606628418,0.663792073726654,0.666353702545166,,,,,,,
,,0.024349442228829288,699,,,,,,,,,,,,,,,,,,,,,,,,
1,,,699,,,,,,,,,,,0.6875,0.9187119603157043,0.3125,0.6828188896179199,0.9187119603157043,0.7119559049606323,0.6958497166633606,,,,,,,
1,36864.0,,701,,,,,,,,515956.0,5458368.0,1014120.0,,,,,,,,0.6674679517745972,0.934133768081665,0.33253204822540283,0.6678217649459839,0.934133768081665,0.6828795671463013,0.6689041256904602
