total_act,val_loss,step,val_f1,epoch,total_macs,est_act,val_classifier_loss,val_precision,val_recall,total_weights,val_error,val_accuracy,train_precision,train_f1,train_classifier_loss,train_error,lr-SGD,train_accuracy,train_loss,train_recall,test_recall,test_accuracy,test_precision,test_f1,test_classifier_loss,test_loss,test_error
2813972.0,2.039156436920166,20,0.20443233847618103,0,555422720.0,131072.0,2.039156436920166,0.28561246395111084,0.24071335792541504,11164352.0,0.758056640625,0.241943359375,,,,,,,,,,,,,,,
2813972.0,1.8694682121276855,41,0.2921818494796753,1,555422720.0,131072.0,1.8694682121276855,0.31094837188720703,0.30551427602767944,11164352.0,0.69482421875,0.30517578125,,,,,,,,,,,,,,,
,,49,,,,,,,,,,,,,,,0.07722910810815387,,,,,,,,,,
,,49,,2,,,,,,,,,0.28487733006477356,0.2594585418701172,1.8976129293441772,0.72216796875,,0.27783203125,1.8976129293441772,0.280097097158432,,,,,,,
2813972.0,1.8368337154388428,62,0.31360137462615967,2,555422720.0,131072.0,1.8368337154388428,0.3487553596496582,0.3258754312992096,11164352.0,0.672607421875,0.327392578125,,,,,,,,,,,,,,,
2813972.0,1.683152675628662,83,0.3673994839191437,3,555422720.0,131072.0,1.683152675628662,0.38758420944213867,0.3743017315864563,11164352.0,0.62548828125,0.37451171875,,,,,,,,,,,,,,,
,,99,,,,,,,,,,,,,,,0.20546432485587451,,,,,,,,,,
,,99,,4,,,,,,,,,0.3580571115016937,0.33018067479133606,1.7023600339889526,0.65185546875,,0.34814453125,1.7023600339889526,0.3503609299659729,,,,,,,
2813972.0,1.6425716876983643,104,0.3684561252593994,4,555422720.0,131072.0,1.6425716876983643,0.39457905292510986,0.3900362253189087,11164352.0,0.609375,0.390625,,,,,,,,,,,,,,,
2813972.0,2.1166155338287354,125,0.312395304441452,5,555422720.0,131072.0,2.1166155338287354,0.45285314321517944,0.35456186532974243,11164352.0,0.648681640625,0.351318359375,,,,,,,,,,,,,,,
2813972.0,1.9701879024505615,146,0.3925611674785614,6,555422720.0,131072.0,1.9701879024505615,0.5028076171875,0.41853412985801697,11164352.0,0.582763671875,0.417236328125,,,,,,,,,,,,,,,
,,149,,,,,,,,,,,,,,,0.38529722574570946,,,,,,,,,,
,,149,,7,,,,,,,,,0.478130578994751,0.4624210000038147,1.4439013004302979,0.529296875,,0.470703125,1.4439013004302979,0.4722413718700409,,,,,,,
2813972.0,1.7957181930541992,167,0.42886245250701904,7,555422720.0,131072.0,1.7957181930541992,0.56340491771698,0.4488683044910431,11164352.0,0.5517578125,0.4482421875,,,,,,,,,,,,,,,
2813972.0,2.1816303730010986,188,0.3723562955856323,8,555422720.0,131072.0,2.1816303730010986,0.5702745914459229,0.3942220211029053,11164352.0,0.60693359375,0.39306640625,,,,,,,,,,,,,,,
,,199,,,,,,,,,,,,,,,0.572654704345118,,,,,,,,,,
