val_classifier_loss,val_loss,total_macs,total_act,val_recall,val_accuracy,val_error,total_weights,step,est_act,val_precision,epoch,val_f1,train_classifier_loss,train_f1,train_recall,train_accuracy,train_error,lr-SGD,train_precision,train_loss,test_accuracy,test_loss,test_error,test_recall,test_classifier_loss,test_f1,test_precision
2.124770402908325,2.124770402908325,555422720.0,2813972.0,0.20969514548778534,0.211669921875,0.788330078125,11164352.0,20,131072.0,0.2599691152572632,0,0.172270268201828,,,,,,,,,,,,,,,
1.9750487804412842,1.9750487804412842,555422720.0,2813972.0,0.26963043212890625,0.271728515625,0.728271484375,11164352.0,41,131072.0,0.29597753286361694,1,0.25372886657714844,,,,,,,,,,,,,,,
,,,,,,,,49,,,,,,,,,,0.028960915540557686,,,,,,,,,
,,,,,,,,49,,,2,,1.948346734046936,0.22596880793571472,0.254183292388916,0.25341796875,0.74658203125,,0.2603877782821655,1.948346734046936,,,,,,,
1.8565404415130615,1.8565404415130615,555422720.0,2813972.0,0.30864712595939636,0.310302734375,0.689697265625,11164352.0,62,131072.0,0.32132941484451294,2,0.2937457263469696,,,,,,,,,,,,,,,
1.8184551000595093,1.8184551000595093,555422720.0,2813972.0,0.3231315016746521,0.32470703125,0.67529296875,11164352.0,83,131072.0,0.3337218165397644,3,0.3083420991897583,,,,,,,,,,,,,,,
,,,,,,,,99,,,,,,,,,,0.07704912182095291,,,,,,,,,
,,,,,,,,99,,,4,,1.8239340782165527,0.27302223443984985,0.3174504041671753,0.310546875,0.689453125,,0.34630483388900757,1.8239340782165527,,,,,,,
1.777977705001831,1.777977705001831,555422720.0,2813972.0,0.33860644698143005,0.33935546875,0.66064453125,11164352.0,104,131072.0,0.36376655101776123,4,0.3207411766052246,,,,,,,,,,,,,,,
1.7616745233535767,1.7616745233535767,555422720.0,2813972.0,0.36021167039871216,0.359619140625,0.640380859375,11164352.0,125,131072.0,0.37456783652305603,5,0.3310841917991638,,,,,,,,,,,,,,,
1.6256992816925049,1.6256992816925049,555422720.0,2813972.0,0.40470588207244873,0.40283203125,0.59716796875,11164352.0,146,131072.0,0.43479448556900024,6,0.38303136825561523,,,,,,,,,,,,,,,
,,,,,,,,149,,,,,,,,,,0.14448645965464105,,,,,,,,,
,,,,,,,,149,,,7,,1.6278396844863892,0.38962042331695557,0.40778225660324097,0.40478515625,0.59521484375,,0.4087768793106079,1.6278396844863892,,,,,,,
