total_act,val_loss,step,val_f1,epoch,total_macs,est_act,val_classifier_loss,val_precision,val_recall,total_weights,val_error,val_accuracy,train_precision,train_f1,train_classifier_loss,train_error,lr-SGD,train_accuracy,train_loss,train_recall,test_recall,test_accuracy,test_precision,test_f1,test_classifier_loss,test_loss,test_error
1185044.0,2.1853489875793457,20,0.15933923423290253,0,291308800.0,131072.0,2.1853489875793457,0.36785128712654114,0.20611706376075745,2272192.0,0.79150390625,0.20849609375,,,,,,,,,,,,,,,
1185044.0,1.757982850074768,41,0.32649993896484375,1,291308800.0,131072.0,1.757982850074768,0.374133825302124,0.3605503439903259,2272192.0,0.640380859375,0.359619140625,,,,,,,,,,,,,,,
,,49,,,,,,,,,,,,,,,0.048268192567596124,,,,,,,,,,
,,49,,2,,,,,,,,,0.3722292184829712,0.36878103017807007,1.658591389656067,0.619140625,,0.380859375,1.658591389656067,0.3798629641532898,,,,,,,
1185044.0,1.8712401390075684,62,0.32973504066467285,2,291308800.0,131072.0,1.8712401390075684,0.4209273159503937,0.35275959968566895,2272192.0,0.645751953125,0.354248046875,,,,,,,,,,,,,,,
1185044.0,1.659125804901123,83,0.4141440689563751,3,291308800.0,131072.0,1.659125804901123,0.5142857432365417,0.423306405544281,2272192.0,0.576171875,0.423828125,,,,,,,,,,,,,,,
,,99,,,,,,,,,,,,,,,0.12841520303492154,,,,,,,,,,
,,99,,4,,,,,,,,,0.5469290614128113,0.5473084449768066,1.2338554859161377,0.4482421875,,0.5517578125,1.2338554859161377,0.5554506182670593,,,,,,,
1185044.0,1.5900139808654785,104,0.4397856593132019,4,291308800.0,131072.0,1.5900139808654785,0.5277973413467407,0.4718601703643799,2272192.0,0.528076171875,0.471923828125,,,,,,,,,,,,,,,
1185044.0,1.2462644577026367,125,0.5559602975845337,5,291308800.0,131072.0,1.2462644577026367,0.6177695989608765,0.5608268976211548,2272192.0,0.437744140625,0.562255859375,,,,,,,,,,,,,,,
1185044.0,1.2036283016204834,146,0.5790153741836548,6,291308800.0,131072.0,1.2036283016204834,0.6193110942840576,0.5938998460769653,2272192.0,0.40673828125,0.59326171875,,,,,,,,,,,,,,,
,,149,,,,,,,,,,,,,,,0.24081076609106838,,,,,,,,,,
,,149,,7,,,,,,,,,0.6134293675422668,0.6092867255210876,1.070170283317566,0.38916015625,,0.61083984375,1.070170283317566,0.6105164885520935,,,,,,,
1185044.0,0.943612277507782,167,0.6632722616195679,7,291308800.0,131072.0,0.943612277507782,0.7057311534881592,0.6702684164047241,2272192.0,0.331298828125,0.668701171875,,,,,,,,,,,,,,,
1185044.0,1.000234603881836,188,0.6363279819488525,8,291308800.0,131072.0,1.000234603881836,0.6798926591873169,0.6412597894668579,2272192.0,0.357421875,0.642578125,,,,,,,,,,,,,,,
,,199,,,,,,,,,,,,,,,0.3579091902156988,,,,,,,,,,
,,199,,9,,,,,,,,,0.7090446949005127,0.7078822255134583,0.8246424794197083,0.29345703125,,0.70654296875,0.8246424794197083,0.711262583732605,,,,,,,
1185044.0,0.9279245138168335,209,0.6707055568695068,9,291308800.0,131072.0,0.9279245138168335,0.7386841773986816,0.6775651574134827,2272192.0,0.32080078125,0.67919921875,,,,,,,,,,,,,,,
1185044.0,0.8317878246307373,230,0.699600875377655,10,291308800.0,131072.0,0.8317878246307373,0.752092719078064,0.7051630616188049,2272192.0,0.29345703125,0.70654296875,,,,,,,,,,,,,,,
,,249,,,,,,,,,,,,,,,0.45101221561324184,,,,,,,,,,
,,249,,11,,,,,,,,,0.7626594305038452,0.7604445815086365,0.6917526721954346,0.23779296875,,0.76220703125,0.6917526721954346,0.7621247172355652,,,,,,,
1185044.0,0.6700801849365234,251,0.7750228047370911,11,291308800.0,131072.0,0.6700801849365234,0.7990440130233765,0.7777441740036011,2272192.0,0.22216796875,0.77783203125,,,,,,,,,,,,,,,
1185044.0,0.6785573959350586,272,0.7595736980438232,12,291308800.0,131072.0,0.6785573959350586,0.7854082584381104,0.7583233118057251,2272192.0,0.23876953125,0.76123046875,,,,,,,,,,,,,,,
1185044.0,0.7369635105133057,293,0.7377277612686157,13,291308800.0,131072.0,0.7369635105133057,0.763972282409668,0.7436444759368896,2272192.0,0.2548828125,0.7451171875,,,,,,,,,,,,,,,
,,299,,,,,,,,,,,,,,,0.4973023293189753,,,,,,,,,,
,,299,,14,,,,,,,,,0.7970032691955566,0.7960550785064697,0.5931262969970703,0.2041015625,,0.7958984375,0.5931262969970703,0.7982113361358643,,,,,,,
1185044.0,0.6455292701721191,314,0.777936577796936,14,291308800.0,131072.0,0.6455292701721191,0.7932020425796509,0.7791222333908081,2272192.0,0.2197265625,0.7802734375,,,,,,,,,,,,,,,
1185044.0,0.6558580994606018,335,0.7802437543869019,15,291308800.0,131072.0,0.6558580994606018,0.8050616383552551,0.7793213129043579,2272192.0,0.219482421875,0.780517578125,,,,,,,,,,,,,,,
,,349,,,,,,,,,,,,,,,0.49720771772545586,,,,,,,,,,
,,349,,16,,,,,,,,,0.8084062337875366,0.8048335909843445,0.5598818063735962,0.197265625,,0.802734375,0.5598818063735962,0.8046208620071411,,,,,,,
1185044.0,0.60393226146698,356,0.7903665900230408,16,291308800.0,131072.0,0.60393226146698,0.8065117597579956,0.7897890210151672,2272192.0,0.210205078125,0.789794921875,,,,,,,,,,,,,,,
1185044.0,0.5675071477890015,377,0.8138856887817383,17,291308800.0,131072.0,0.5675071477890015,0.8303837180137634,0.8112611174583435,2272192.0,0.18798828125,0.81201171875,,,,,,,,,,,,,,,
1185044.0,0.665408730506897,398,0.7664849162101746,18,291308800.0,131072.0,0.665408730506897,0.8155691027641296,0.768189549446106,2272192.0,0.22900390625,0.77099609375,,,,,,,,,,,,,,,
,,399,,,,,,,,,,,,,,,0.48368117780225767,,,,,,,,,,
,,399,,19,,,,,,,,,0.820983350276947,0.8189969062805176,0.5170754194259644,0.18115234375,,0.81884765625,0.5170754194259644,0.8186776638031006,,,,,,,
1185044.0,0.4598955512046814,419,0.8460142016410828,19,291308800.0,131072.0,0.4598955512046814,0.8522732257843018,0.8453025817871094,2272192.0,0.15478515625,0.84521484375,,,,,,,,,,,,,,,
1185044.0,0.5188611745834351,440,0.8248457908630371,20,291308800.0,131072.0,0.5188611745834351,0.8388678431510925,0.8256655335426331,2272192.0,0.173583984375,0.826416015625,,,,,,,,,,,,,,,
,,449,,,,,,,,,,,,,,,0.45952218813485524,,,,,,,,,,
,,449,,21,,,,,,,,,0.8624503016471863,0.8608731031417847,0.41067472100257874,0.1416015625,,0.8583984375,0.41067472100257874,0.8605448007583618,,,,,,,
1185044.0,0.5739014148712158,461,0.8150297403335571,21,291308800.0,131072.0,0.5739014148712158,0.8268821835517883,0.8133977651596069,2272192.0,0.186279296875,0.813720703125,,,,,,,,,,,,,,,
1185044.0,0.534196138381958,482,0.8201049566268921,22,291308800.0,131072.0,0.534196138381958,0.8390748500823975,0.8183342814445496,2272192.0,0.17919921875,0.82080078125,,,,,,,,,,,,,,,
