total_act,val_loss,step,val_f1,epoch,total_macs,est_act,val_classifier_loss,val_precision,val_recall,total_weights,val_error,val_accuracy,train_precision,train_f1,train_classifier_loss,train_error,lr-SGD,train_accuracy,train_loss,train_recall,test_recall,test_accuracy,test_precision,test_f1,test_classifier_loss,test_loss,test_error
1185044.0,2.242605447769165,20,0.1370992660522461,0,291308800.0,131072.0,2.242605447769165,0.33407726883888245,0.18791981041431427,2272192.0,0.809814453125,0.190185546875,,,,,,,,,,,,,,,
1185044.0,2.0522308349609375,41,0.2667415738105774,1,291308800.0,131072.0,2.0522308349609375,0.3187228739261627,0.30087512731552124,2272192.0,0.700439453125,0.299560546875,,,,,,,,,,,,,,,
,,49,,,,,,,,,,,,,,,0.009653638513519233,,,,,,,,,,
,,49,,2,,,,,,,,,0.29133933782577515,0.27089011669158936,1.991657018661499,0.7021484375,,0.2978515625,1.991657018661499,0.2952795624732971,,,,,,,
1185044.0,1.8346941471099854,62,0.31321144104003906,2,291308800.0,131072.0,1.8346941471099854,0.34526804089546204,0.3482009768486023,2272192.0,0.65087890625,0.34912109375,,,,,,,,,,,,,,,
1185044.0,1.7195688486099243,83,0.3452876806259155,3,291308800.0,131072.0,1.7195688486099243,0.4105930030345917,0.3824569284915924,2272192.0,0.62060546875,0.37939453125,,,,,,,,,,,,,,,
,,99,,,,,,,,,,,,,,,0.025683040606984314,,,,,,,,,,
,,99,,4,,,,,,,,,0.41327452659606934,0.4119539260864258,1.5500032901763916,0.57373046875,,0.42626953125,1.5500032901763916,0.4301060438156128,,,,,,,
1185044.0,1.5047011375427246,104,0.43069836497306824,4,291308800.0,131072.0,1.5047011375427246,0.45501336455345154,0.4510110318660736,2272192.0,0.5478515625,0.4521484375,,,,,,,,,,,,,,,
1185044.0,1.393794298171997,125,0.48083770275115967,5,291308800.0,131072.0,1.393794298171997,0.505914032459259,0.48822546005249023,2272192.0,0.51123046875,0.48876953125,,,,,,,,,,,,,,,
1185044.0,1.7223551273345947,146,0.37994182109832764,6,291308800.0,131072.0,1.7223551273345947,0.54111647605896,0.4067094326019287,2272192.0,0.592529296875,0.407470703125,,,,,,,,,,,,,,,
,,149,,,,,,,,,,,,,,,0.04816215321821368,,,,,,,,,,
,,149,,7,,,,,,,,,0.5193361043930054,0.5160092115402222,1.3124547004699707,0.478515625,,0.521484375,1.3124547004699707,0.5212640166282654,,,,,,,
1185044.0,1.2505714893341064,167,0.547119677066803,7,291308800.0,131072.0,1.2505714893341064,0.6284260153770447,0.544844925403595,2272192.0,0.455078125,0.544921875,,,,,,,,,,,,,,,
1185044.0,1.098933219909668,188,0.5988394618034363,8,291308800.0,131072.0,1.098933219909668,0.6402563452720642,0.6018273234367371,2272192.0,0.3984375,0.6015625,,,,,,,,,,,,,,,
