total_act,val_loss,step,val_f1,epoch,total_macs,est_act,val_classifier_loss,val_precision,val_recall,total_weights,val_error,val_accuracy,train_precision,train_f1,train_classifier_loss,train_error,lr-SGD,train_accuracy,train_loss,train_recall,test_recall,test_accuracy,test_precision,test_f1,test_classifier_loss,test_loss,test_error
1185044.0,2.2113401889801025,20,0.142989382147789,0,291308800.0,131072.0,2.2113401889801025,0.32462453842163086,0.1998099386692047,2272192.0,0.797607421875,0.202392578125,,,,,,,,,,,,,,,
1185044.0,1.8404111862182617,41,0.29278111457824707,1,291308800.0,131072.0,1.8404111862182617,0.3329036235809326,0.32957956194877625,2272192.0,0.6689453125,0.3310546875,,,,,,,,,,,,,,,
,,49,,,,,,,,,,,,,,,0.028960915540557686,,,,,,,,,,
,,49,,2,,,,,,,,,0.3549189865589142,0.3371860980987549,1.7594741582870483,0.642578125,,0.357421875,1.7594741582870483,0.3580528497695923,,,,,,,
1185044.0,1.6022896766662598,62,0.37016043066978455,2,291308800.0,131072.0,1.6022896766662598,0.43362605571746826,0.40147626399993896,2272192.0,0.600341796875,0.399658203125,,,,,,,,,,,,,,,
1185044.0,1.642139196395874,83,0.3565863370895386,3,291308800.0,131072.0,1.642139196395874,0.5084572434425354,0.393806517124176,2272192.0,0.607421875,0.392578125,,,,,,,,,,,,,,,
,,99,,,,,,,,,,,,,,,0.07704912182095291,,,,,,,,,,
,,99,,4,,,,,,,,,0.5206928253173828,0.521112322807312,1.3151602745056152,0.47900390625,,0.52099609375,1.3151602745056152,0.5246760845184326,,,,,,,
1185044.0,1.4994304180145264,104,0.44728606939315796,4,291308800.0,131072.0,1.4994304180145264,0.49243664741516113,0.4685238003730774,2272192.0,0.533203125,0.466796875,,,,,,,,,,,,,,,
1185044.0,1.221646785736084,125,0.5425765514373779,5,291308800.0,131072.0,1.221646785736084,0.6091908812522888,0.5534111261367798,2272192.0,0.443359375,0.556640625,,,,,,,,,,,,,,,
1185044.0,1.2905597686767578,146,0.5321504473686218,6,291308800.0,131072.0,1.2905597686767578,0.6054443120956421,0.552801251411438,2272192.0,0.44775390625,0.55224609375,,,,,,,,,,,,,,,
,,149,,,,,,,,,,,,,,,0.14448645965464105,,,,,,,,,,
,,149,,7,,,,,,,,,0.6208596229553223,0.6192413568496704,1.0740365982055664,0.376953125,,0.623046875,1.0740365982055664,0.6248050928115845,,,,,,,
1185044.0,1.0367252826690674,167,0.63233482837677,7,291308800.0,131072.0,1.0367252826690674,0.676777720451355,0.6282956600189209,2272192.0,0.37060546875,0.62939453125,,,,,,,,,,,,,,,
1185044.0,1.1749248504638672,188,0.5792802572250366,8,291308800.0,131072.0,1.1749248504638672,0.6839838027954102,0.574567973613739,2272192.0,0.42333984375,0.57666015625,,,,,,,,,,,,,,,
,,199,,,,,,,,,,,,,,,0.21474551412941925,,,,,,,,,,
,,199,,9,,,,,,,,,0.692747175693512,0.6908681392669678,0.8582719564437866,0.3115234375,,0.6884765625,0.8582719564437866,0.6928092241287231,,,,,,,
1185044.0,1.0416796207427979,209,0.6343247890472412,9,291308800.0,131072.0,1.0416796207427979,0.7131259441375732,0.6397552490234375,2272192.0,0.359375,0.640625,,,,,,,,,,,,,,,
1185044.0,1.2359659671783447,230,0.5791586637496948,10,291308800.0,131072.0,1.2359659671783447,0.6884283423423767,0.5966417789459229,2272192.0,0.400390625,0.599609375,,,,,,,,,,,,,,,
,,249,,,,,,,,,,,,,,,0.27060732936794507,,,,,,,,,,
,,249,,11,,,,,,,,,0.7413960099220276,0.7406921982765198,0.7560983300209045,0.2568359375,,0.7431640625,0.7560983300209045,0.7428933382034302,,,,,,,
1185044.0,0.7419683933258057,251,0.7387599349021912,11,291308800.0,131072.0,0.7419683933258057,0.7816344499588013,0.7355722784996033,2272192.0,0.262451171875,0.737548828125,,,,,,,,,,,,,,,
1185044.0,0.6801900863647461,272,0.7710579633712769,12,291308800.0,131072.0,0.6801900863647461,0.8057267665863037,0.7721635103225708,2272192.0,0.22802734375,0.77197265625,,,,,,,,,,,,,,,
1185044.0,0.618343710899353,293,0.7884277105331421,13,291308800.0,131072.0,0.618343710899353,0.7961702942848206,0.7885564565658569,2272192.0,0.210205078125,0.789794921875,,,,,,,,,,,,,,,
,,299,,,,,,,,,,,,,,,0.29838139759138516,,,,,,,,,,
,,299,,14,,,,,,,,,0.7746965885162354,0.7743420600891113,0.6417829394340515,0.22509765625,,0.77490234375,0.6417829394340515,0.7771202325820923,,,,,,,
1185044.0,0.6045974493026733,314,0.791283905506134,14,291308800.0,131072.0,0.6045974493026733,0.8050604462623596,0.7939704656600952,2272192.0,0.20556640625,0.79443359375,,,,,,,,,,,,,,,
1185044.0,0.781723141670227,335,0.7391772270202637,15,291308800.0,131072.0,0.781723141670227,0.7780435085296631,0.7427425384521484,2272192.0,0.25537109375,0.74462890625,,,,,,,,,,,,,,,
,,349,,,,,,,,,,,,,,,0.29832463063527354,,,,,,,,,,
,,349,,16,,,,,,,,,0.8048418760299683,0.801137387752533,0.578850269317627,0.20166015625,,0.79833984375,0.578850269317627,0.800023078918457,,,,,,,
1185044.0,0.6643840074539185,356,0.774958610534668,16,291308800.0,131072.0,0.6643840074539185,0.8084848523139954,0.7692736387252808,2272192.0,0.23046875,0.76953125,,,,,,,,,,,,,,,
1185044.0,0.6162213087081909,377,0.7953318357467651,17,291308800.0,131072.0,0.6162213087081909,0.8225510716438293,0.7896167039871216,2272192.0,0.209228515625,0.790771484375,,,,,,,,,,,,,,,
