val_error,val_precision,total_macs,total_weights,val_classifier_loss,epoch,val_accuracy,val_loss,est_act,step,val_f1,val_recall,total_act,train_loss,train_accuracy,train_recall,train_classifier_loss,train_f1,train_error,lr-SGD,train_precision,test_classifier_loss,test_precision,test_loss,test_accuracy,test_recall,test_error,test_f1
0.850830078125,0.19517821073532104,555422720.0,11164352.0,2.263456344604492,0,0.149169921875,2.263456344604492,131072.0,20,0.11054720729589462,0.1475193202495575,2813972.0,,,,,,,,,,,,,,,
0.767333984375,0.27745479345321655,555422720.0,11164352.0,2.081756591796875,1,0.232666015625,2.081756591796875,131072.0,41,0.19447368383407593,0.22896748781204224,2813972.0,,,,,,,,,,,,,,,
,,,,,,,,,49,,,,,,,,,,0.028960915540557686,,,,,,,,
,,,,,2,,,,49,,,,1.8225977420806885,0.3466796875,0.34586286544799805,1.8225977420806885,0.33191460371017456,0.6533203125,,0.3397020101547241,,,,,,,
0.586669921875,0.4125104248523712,555422720.0,11164352.0,1.6556246280670166,2,0.413330078125,1.6556246280670166,131072.0,62,0.4018042981624603,0.4129830598831177,2813972.0,,,,,,,,,,,,,,,
0.499267578125,0.5088263750076294,555422720.0,11164352.0,1.3953783512115479,3,0.500732421875,1.3953783512115479,131072.0,83,0.496101975440979,0.5000989437103271,2813972.0,,,,,,,,,,,,,,,
,,,,,,,,,99,,,,,,,,,,0.07704912182095291,,,,,,,,
,,,,,4,,,,99,,,,1.3166011571884155,0.515625,0.5183739066123962,1.3166011571884155,0.5130982398986816,0.484375,,0.5156312584877014,,,,,,,
0.442138671875,0.57433021068573,555422720.0,11164352.0,1.2292051315307617,4,0.557861328125,1.2292051315307617,131072.0,104,0.5453994274139404,0.5580810308456421,2813972.0,,,,,,,,,,,,,,,
0.3115234375,0.6859097480773926,555422720.0,11164352.0,0.8858802318572998,5,0.6884765625,0.8858802318572998,131072.0,125,0.6848340034484863,0.6876954436302185,2813972.0,,,,,,,,,,,,,,,
0.226318359375,0.7712662220001221,555422720.0,11164352.0,0.6566494703292847,6,0.773681640625,0.6566494703292847,131072.0,146,0.7700600624084473,0.7725449800491333,2813972.0,,,,,,,,,,,,,,,
,,,,,,,,,149,,,,,,,,,,0.14448645965464105,,,,,,,,
,,,,,7,,,,149,,,,0.864268958568573,0.6953125,0.6975928544998169,0.864268958568573,0.6967220306396484,0.3046875,,0.6991888284683228,,,,,,,
0.17333984375,0.8266478180885315,555422720.0,11164352.0,0.5022023320198059,7,0.82666015625,0.5022023320198059,131072.0,167,0.8243703842163086,0.8252263069152832,2813972.0,,,,,,,,,,,,,,,
0.155029296875,0.8445374965667725,555422720.0,11164352.0,0.44868552684783936,8,0.844970703125,0.44868552684783936,131072.0,188,0.8405840992927551,0.8433306217193604,2813972.0,,,,,,,,,,,,,,,
,,,,,,,,,199,,,,,,,,,,0.21474551412941925,,,,,,,,
,,,,,9,,,,199,,,,0.5607175230979919,0.80712890625,0.8078984618186951,0.5607175230979919,0.806731104850769,0.19287109375,,0.8087098002433777,,,,,,,
0.115966796875,0.8836493492126465,555422720.0,11164352.0,0.3490931987762451,9,0.884033203125,0.3490931987762451,131072.0,209,0.8831924796104431,0.8832637071609497,2813972.0,,,,,,,,,,,,,,,
0.1025390625,0.8967363834381104,555422720.0,11164352.0,0.31962305307388306,10,0.8974609375,0.31962305307388306,131072.0,230,0.8962590098381042,0.8967054486274719,2813972.0,,,,,,,,,,,,,,,
,,,,,,,,,249,,,,,,,,,,0.27060732936794507,,,,,,,,
,,,,,11,,,,249,,,,0.4386548101902008,0.8505859375,0.8503352999687195,0.4386548101902008,0.8502044677734375,0.1494140625,,0.8508838415145874,,,,,,,
0.108154296875,0.891949474811554,555422720.0,11164352.0,0.30808770656585693,11,0.891845703125,0.30808770656585693,131072.0,251,0.8908393979072571,0.8908478617668152,2813972.0,,,,,,,,,,,,,,,
0.09521484375,0.9043630957603455,555422720.0,11164352.0,0.28386443853378296,12,0.90478515625,0.28386443853378296,131072.0,272,0.9032111167907715,0.9036927223205566,2813972.0,,,,,,,,,,,,,,,
