epoch,est_act,lr-SGD,step,test_accuracy,test_classifier_loss,test_error,test_f1,test_loss,test_precision,test_recall,total_act,total_macs,total_weights,train_accuracy,train_classifier_loss,train_error,train_f1,train_loss,train_precision,train_recall,val_accuracy,val_classifier_loss,val_error,val_f1,val_loss,val_precision,val_recall
,,0.012061568941931666,49,,,,,,,,,,,,,,,,,,,,,,,,
0,,,49,,,,,,,,,,,0.3359375,1.8161964416503906,0.6640625,0.2852368652820587,1.8161964416503906,0.30505698919296265,0.3262913227081299,,,,,,,
,,0.012251272248453793,99,,,,,,,,,,,,,,,,,,,,,,,,
0,,,99,,,,,,,,,,,0.4296875,1.5224289894104004,0.5703125,0.4201861619949341,1.5224289894104004,0.44189223647117615,0.4153725504875183,,,,,,,
,,0.01256896665626045,149,,,,,,,,,,,,,,,,,,,,,,,,
0,,,149,,,,,,,,,,,0.4375,1.4756231307983398,0.5625,0.41335952281951904,1.4756231307983398,0.4399634003639221,0.43134865164756775,,,,,,,
,,0.013014369296363681,199,,,,,,,,,,,,,,,,,,,,,,,,
0,,,199,,,,,,,,,,,0.4609375,1.490983009338379,0.5390625,0.4520973563194275,1.490983009338379,0.45502912998199463,0.46849218010902405,,,,,,,
,,0.01358708359082289,249,,,,,,,,,,,,,,,,,,,,,,,,
0,,,249,,,,,,,,,,,0.5078125,1.2896125316619873,0.4921875,0.5233635902404785,1.2896125316619873,0.5362911224365234,0.5371724367141724,,,,,,,
,,0.014286599605850048,299,,,,,,,,,,,,,,,,,,,,,,,,
0,,,299,,,,,,,,,,,0.53125,1.2917699813842773,0.46875,0.49751752614974976,1.2917699813842773,0.530876636505127,0.5198268890380859,,,,,,,
,,0.015112294505844837,349,,,,,,,,,,,,,,,,,,,,,,,,
0,,,349,,,,,,,,,,,0.6484375,1.0718613862991333,0.3515625,0.6453632116317749,1.0718613862991333,0.6660469174385071,0.6710355877876282,,,,,,,
0,131072.0,,350,,,,,,,,1185044.0,291308800.0,2272192.0,,,,,,,,0.6049679517745972,1.0870379209518433,0.39503204822540283,0.596969485282898,1.0870379209518433,0.6317158937454224,0.6058990359306335
,,0.016063433107955882,399,,,,,,,,,,,,,,,,,,,,,,,,
1,,,399,,,,,,,,,,,0.6015625,1.0613957643508911,0.3984375,0.5850710868835449,1.0613957643508911,0.6121335625648499,0.5917658805847168,,,,,,,
,,0.0171391685366728,449,,,,,,,,,,,,,,,,,,,,,,,,
1,,,449,,,,,,,,,,,0.6171875,1.0722848176956177,0.3828125,0.6157041788101196,1.0722848176956177,0.6265901327133179,0.6245546340942383,,,,,,,
,,0.01833854297786841,499,,,,,,,,,,,,,,,,,,,,,,,,
1,,,499,,,,,,,,,,,0.7109375,0.8273331522941589,0.2890625,0.6990177035331726,0.8273331522941589,0.7058770656585693,0.7108628749847412,,,,,,,
,,0.01966048853161778,549,,,,,,,,,,,,,,,,,,,,,,,,
1,,,549,,,,,,,,,,,0.6484375,1.0479183197021484,0.3515625,0.6423566341400146,1.0479183197021484,0.6558748483657837,0.6451228857040405,,,,,,,
,,0.021103828163035687,599,,,,,,,,,,,,,,,,,,,,,,,,
1,,,599,,,,,,,,,,,0.640625,1.0273501873016357,0.359375,0.630344808101654,1.0273501873016357,0.6447826623916626,0.6354184746742249,,,,,,,
,,0.022667276750286014,649,,,,,,,,,,,,,,,,,,,,,,,,
1,,,649,,,,,,,,,,,0.7265625,0.8803610801696777,0.2734375,0.6960753202438354,0.8803610801696777,0.7001557350158691,0.7026330828666687,,,,,,,
,,0.024349442228829288,699,,,,,,,,,,,,,,,,,,,,,,,,
1,,,699,,,,,,,,,,,0.6796875,0.8555598258972168,0.3203125,0.6787315607070923,0.8555598258972168,0.6939085721969604,0.6858890056610107,,,,,,,
1,131072.0,,701,,,,,,,,1185044.0,291308800.0,2272192.0,,,,,,,,0.651442289352417,0.9973719716072083,0.348557710647583,0.6394523978233337,0.9973719716072083,0.6912910342216492,0.6496648788452148
,,0.026148826830890537,749,,,,,,,,,,,,,,,,,,,,,,,,
2,,,749,,,,,,,,,,,0.671875,0.7788259983062744,0.328125,0.6543893814086914,0.7788259983062744,0.6730569005012512,0.6865600347518921,,,,,,,
,,0.02806382841904237,799,,,,,,,,,,,,,,,,,,,,,,,,
2,,,799,,,,,,,,,,,0.7421875,0.7822959423065186,0.2578125,0.7224459052085876,0.7822959423065186,0.7407341003417969,0.7258152961730957,,,,,,,
,,0.030092741912717824,849,,,,,,,,,,,,,,,,,,,,,,,,
2,,,849,,,,,,,,,,,0.703125,0.7788488864898682,0.296875,0.6871085166931152,0.7788488864898682,0.712450385093689,0.7052894830703735,,,,,,,
,,0.03223376080638091,899,,,,,,,,,,,,,,,,,,,,,,,,
2,,,899,,,,,,,,,,,0.75,0.6979150772094727,0.25,0.751629114151001,0.6979150772094727,0.7637857794761658,0.7541125416755676,,,,,,,
,,0.03448497877800455,949,,,,,,,,,,,,,,,,,,,,,,,,
2,,,949,,,,,,,,,,,0.7109375,0.7701156139373779,0.2890625,0.6971834897994995,0.7701156139373779,0.6981104612350464,0.708264172077179,,,,,,,
,,0.03684439138642315,999,,,,,,,,,,,,,,,,,,,,,,,,
2,,,999,,,,,,,,,,,0.75,0.6810719966888428,0.25,0.7501018047332764,0.6810719966888428,0.7722939848899841,0.7743633985519409,,,,,,,
,,0.03930989785604816,1049,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1049,,,,,,,,,,,0.7265625,0.7328729629516602,0.2734375,0.7342140674591064,0.7328729629516602,0.7310073375701904,0.7411441802978516,,,,,,,
